atmId,code_str,date,disbursement_amnt,money_fulfilled
3,S1A95015,2017-11-28,3980,0
3,S1A95015,2017-11-29,5370,0
3,S1A95015,2017-11-30,9230,0
3,S1A95015,2017-12-01,7920,0
3,S1A95015,2017-12-02,1270,0
3,S1A95015,2017-12-03,180,0
3,S1A95015,2017-12-04,10530,0
3,S1A95015,2017-12-05,7670,0
3,S1A95015,2017-12-06,6320,0
3,S1A95015,2017-12-07,7310,99400
3,S1A95015,2017-12-08,7470,0
3,S1A95015,2017-12-09,310,0
3,S1A95015,2017-12-10,360,0
3,S1A95015,2017-12-11,6820,0
3,S1A95015,2017-12-12,6700,0
3,S1A95015,2017-12-13,7200,0
3,S1A95015,2017-12-14,6020,0
3,S1A95015,2017-12-15,12500,0
3,S1A95015,2017-12-16,1130,0
3,S1A95015,2017-12-17,600,0
3,S1A95015,2017-12-18,9580,0
3,S1A95015,2017-12-19,7790,0
3,S1A95015,2017-12-20,8720,0
3,S1A95015,2017-12-21,11090,0
3,S1A95015,2017-12-22,8370,0
3,S1A95015,2017-12-23,1300,95960
3,S1A95015,2017-12-24,580,0
3,S1A95015,2017-12-25,20,0
3,S1A95015,2017-12-26,380,0
3,S1A95015,2017-12-27,4660,0
3,S1A95015,2017-12-28,6280,0
3,S1A95015,2017-12-29,5130,0
3,S1A95015,2017-12-30,40,0
3,S1A95015,2017-12-31,40,0
3,S1A95015,2018-01-01,300,0
3,S1A95015,2018-01-02,2830,0
3,S1A95015,2018-01-03,2830,0
3,S1A95015,2018-01-04,3650,0
3,S1A95015,2018-01-05,3950,0
3,S1A95015,2018-01-06,60,0
3,S1A95015,2018-01-07,320,0
3,S1A95015,2018-01-08,6260,0
3,S1A95015,2018-01-09,4810,0
3,S1A95015,2018-01-10,7330,0
